,0
0,"['Stocks Rise as Oil Prices Rebound: Live Market Updates']['As Congress prepares to restock a depleted small-business loan fund, complaints are mounting about the publicly traded companies that sucked up hundreds of ...']"
1,"['Coronavirus World News: Crisis Fuels Economic Chaos, Hunger and Strongmen']['The European Union accused Poland and Hungary of undermining democracy — and awarded them billions. Meanwhile, shutdowns and an oil glut are ...']"
2,"['These markets could see the sharpest drop in home prices during coronavirus pandemic']['In the first two weeks of March, new listings were up 5% annually on average. By the second week of April, they were down 47%, according to realtor.com.']"
3,"['This is what air travel could look like in a post-coronavirus world']['It\'s hard to imagine a return to normalcy any time soon, but the time will come, likely well before we have a vaccine for the coronavirus, when the world...']"
4,"['The right way to reopen the economy']['Going back to work after the coronavirus lockdown isn\'t political — and the sooner we can do so safely, the better. Let\'s stop politicizing the conversation and ...']"
5,"['Here are the public companies that got coronavirus aid meant for small businesses']['More than 100 publicly traded companies have received coronavirus aid meant for small businesses, spurring the Trump administration to make an effort to get...']"
6,"['Coronavirus and the Laboratories in Wuhan']['The U.S. government is investigating whether the Covid-19 virus came from a government laboratory in Wuhan, China. The Chinese Communist Party denies ...']"
7,"['\'Reopen the economy\' — Barry Sternlicht worries about \'financial suicide\' from coronavirus closures']['The possible destruction of the U.S. economy must be weighed against the diminishing health risks from the coronavirus, real estate mogul Barry Sternlicht told ...']"
8,['There’s a growing possibility of a W-shaped economic recovery — and it’s scary']['There\'s a real possibility that the economy starts looking a little better and then there\'s a second downturn later this year or next.']
9,"['U.N. warns of \'hunger pandemic\' amid threats of coronavirus, economic downturn']['While the world grapples with the coronavirus pandemic, the head of the United Nations food agency warned on Tuesday that widespread famine looms.']"
10,['Fears of prolonged coronavirus downturn and second wave of US cases']['Business chiefs expect lengthy period before recovery as CDC chief warns of worse to come during US winter.']
11,"['‘I’m Just Living a Nightmare’: Oil Industry Braces for Devastation']['Across the United States, companies are laying off workers, shutting down wells and preparing for a prolonged slump as oil prices tumble.']"
12,['Coronavirus: WHO developing guidance on wet markets']['The World Health Organization calls for stricter safety and hygiene when wet markets reopen.']
13,['First Coronavirus Deaths in U.S. Came Earlier Than Authorities Thought']['Newly reported deaths in California have challenged the timeline of the coronavirus pandemic in the U.S. as countries around the world work to prop up ...']
14,['California Announces Early Coronavirus Deaths; Trump Narrows Immigration Ban']['This briefing has ended. Read the latest developments in the coronavirus pandemic here. Here\'s what you need to know: California announces earliest publicly ...']
15,"['Coronavirus live updates: Harvard will not accept stimulus funds, California to start scheduling certain surgeries again']['Covid-19 has infected more than 2.6 million people around the world as of Wednesday, killing at least 180784 people.']"
16,"['Why a ‘return to normal’ could mean disaster for the stock market']['It\'s hard to deny, although some do, that the stock market, pre-coronavirus, was pushing the limits of what it means to be in a bubble. Of course, bubbles come ...']"
17,"['\ufeffCoronavirus stimulus checks up to $1,200: Calculate your payment amount']['The first wave of IRS stimulus money from the coronavirus relief package went out last week. If you receive federal benefits and have children, you\'ll need to ...']"
18,"['U.S. economy is in a \'medically induced coma,\' but that doesn\'t mean we\'re heading into a depression just yet']['The dramatic economic slowdown caused by coronavirus has led many experts to predict that the U.S. will enter a recession this year. Some are even fearful we ...']"
19,['Putin\'s problems mount as coronavirus hits Russian economy']['MOSCOW (Reuters) - It was meant to be the day Russians voted to change the constitution to allow President Vladimir Putin to extend his rule until 2036.']
20,"['Column: The coronavirus economy will not recover quickly']['If consumers keep a tight grip on their wallets and purses as the coronavirus clouds begin to lift, the subsequent recovery will be gradual and cautious, lasting ...']"
21,"['Trump is frustrated and \'chomping at the bit\' to reopen America and the economy']['President Donald Trump went into the weekend frustrated after a week of calls with industry leaders, governors and lawmakers who raised questions on whether ...']"
22,['Which companies’ stocks will thrive after the coronavirus crash?']['Some of the hottest stocks of the current crisis don\'t have what it takes to pay off for investors in the long term.']
23,"['Wet markets breed contagions like the coronavirus. The U.S. has thousands of them.']['On April 3, Anthony S. Fauci, the nation\'s leading infectious disease expert, joined the chorus of voices calling for the immediate closure of China\'s “wet markets,” ...']"
24,"['The risk of reopening too soon']['Southwest Georgia has one of the nation\'s largest number of coronavirus cases after accounting for its small population, and yet Gov. Brian Kemp announced ...']"
25,[][]
26,"['‘The map is bigger now’: Coronavirus rewires 2020 election']['The economic and political impact of the coronavirus crisis is beginning to reverberate across the presidential battleground states, creating unforeseen red-state ...']"
27,"['Asian wet markets get bad press. See what they\'re really like']['A common sight across Asia, wet markets traditionally sell *fresh* produce and live animals. Some include wild animal products linked to diseases. CNN\'s Kristie ...']"
28,"['Ecuador prepares to reactivate economy after coronavirus quarantine']['Ecuador is readying a plan to restart its economy and authorise flights home for citizens stranded abroad, the government said on Tuesday, following a month of ...']"
29,['5 ways coronavirus could change your next home purchase']['The coronavirus pandemic is roiling the real estate market. Home sales have plummeted. Job losses have soared. Lenders have tightened mortgage ...']
30,"['Coronavirus predictions: 11 ways the Covid-19 pandemic will change us and the economy']['Few aspects of life are untouched by coronavirus and resulting global lockdowns. From an emerging ""quarantine state of mind"" to a new era of frugality to ...']"
31,['How Bad Might It Get? Think the Great Depression']['The coronavirus collapse has the ingredients to surpass the disaster of the 1930s.']
32,"['Oil Collapse and Covid-19 Create Toxic Geopolitical Stew']['For nations reliant on oil sales, the combination of the price collapse and the coronavirus pandemic has created new threats of poverty and political instability ...']"
