,0
0,['Live Coronavirus Updates']['The first known U.S. death from the illness came in early February in California. An order by Trump will impose a 60-day halt in issuing green cards.']
1,"['Coronavirus cure: When will we have a drug to treat it?']['More than 150,000 people have died with Covid-19, but there are still no drugs proven to help doctors treat the disease. So how far are we from these life-saving ...']"
2,['The Infection That’s Silently Killing Coronavirus Patients']['This is what I learned during 10 days of treating Covid pneumonia at Bellevue Hospital.']
3,"['Got coronavirus? You may get a surprise medical bill, too']['Christopher Hoffman had the telltale symptoms: a dry cough, trouble breathing and a missing sense of smell. In early March, before the coronavirus shut the ...']"
4,"['A mysterious blood-clotting complication is killing coronavirus patients']['Once thought to be a relatively straightforward respiratory virus, covid-19 is proving to be much more complex and frightening.']"
5,"['Coronavirus Infections May Not Be Uncommon, Tests Suggest']['Two new studies using antibody tests to assess how many people have been infected with the coronavirus have turned up numbers higher than some experts ...']"
6,"['Coronavirus pandemic in the US']['The US coronavirus outbreak has altered daily life in almost every way. Here\'s the latest updates on US Covid-19 cases, deaths, the lockdown, the government ...']"
7,"['Coronavirus World News: Crisis Fuels Economic Chaos, Hunger and Strongmen']['The European Union accused Poland and Hungary of undermining democracy — and awarded them billions. Meanwhile, shutdowns and an oil glut are ...']"
8,"['Rancho Cordova scientists hope to market coronavirus treatment to hospitals in 2 months']['This article has Unlimited Access. For more coverage, sign up for our daily coronavirus newsletter. To support our commitment to public *service* journalism: ...']"
9,"['Nasal Spray Being Tested as Potential Coronavirus Treatment']['Researchers in Utah are studying the effectiveness of antihistamine-treated nasal spray on cell cultures infected with SARS-CoV-2, the virus responsible for ...']"
10,"['Essential workers have found their power during the coronavirus pandemic']['When clinging to America\'s individualistic ideals in a pandemic means letting poor people die in *service* of the economy, society cannot hold.']"
11,['\'A race against time\': Results expected soon on experimental coronavirus drug']['The results of a highly anticipated study on an experimental coronavirus treatment for the sickest patients are expected any day. Physicians leading the clinical ...']
12,"['Coronavirus live updates: Harvard will not accept stimulus funds, California to start scheduling certain surgeries again']['Covid-19 has infected more than 2.6 million people around the world as of Wednesday, killing at least 180784 people.']"
13,"['What scientists want to know about the coronavirus']['What do scientists wish they knew about the coronavirus? Which treatments actually work, what antibodies are good for, and which public health measures help.']"
14,"['As doctors see coronavirus-kidney link, worry grows over dialysis machines']['As the coronavirus has begun to appear linked to kidney issues, a new round of ethical questions are being raised about who gets treatment and who doesn\'t.']"
15,['Could an old vaccine be a godsend for new coronavirus?']['Using the oral polio vaccine could prevent or reduce the spread of COVID-19 to immunized individuals.']
16,['People are dying of coronavirus because we\'re too slow at clinical research']['Our inability to start and run clinical trials faster — whether in a pandemic or not — is a legacy of our decision not to develop the right technologies.']
17,"['FDA greenlights first coronavirus test with at-home sample, Trump targets immigration']['Covid-19 has infected 2.5 million around the world as of Tuesday, killing at least 171810 people.']"
18,['Experimental Coronavirus Treatment Colchicine to Be Sent to Patients\' Homes Hours After COVID-19 Diagnosis']['Scientists in the U.S. plan to send an existing drug to COVID-19 patients within hours of them being diagnosed to see if it could prevent them from becoming ...']
19,"['Coronavirus at meatpacking plants worse than first thought, USA TODAY investigation finds']['A rash of coronavirus outbreaks at dozens of meatpacking plants across the nation is far more extensive than previously thought, according to an exclusive ...']"
20,"['Live updates: Deaths suggest coronavirus was spreading in U.S. earlier than previously thought; CDC director warns of devastating second wave']['U.S. coronavirus cases surpassed 800000, with 45000 reported covid-19 deaths. More than 2.5 million infections have been confirmed and reported worldwide.']"
21,['CDC chief warns of \'even more difficult\' wave of coronavirus next winter']['Robert Redfield\'s remarks to Washington post come as hydroxychloroquine trial finds no benefit against virus.']
22,"['Coronavirus pandemic: Updates from around the world']['The global coronavirus pandemic has brought countries around the world to a standstill. Here\'s the latest updates on worldwide Covid-19 cases, deaths, ...']"
23,"['Coronavirus Vaccine Update as 70 Potential Treatments Being Rapidly Developed Across the Globe']['At 70 least potential novel coronavirus vaccines are being developed by research teams across the globe, including in the U.S., U.K. and China, according to the ...']"
24,['Online Treatment For Opioid Addiction Gets A Boost Under Coronavirus Rules : Shots - Health News']['The federal government has waived a law that required an in-person doctor\'s visit before patients could be prescribed drugs that quell withdrawal symptoms.']
25,"['New treatment for coronavirus ready to start in Toledo']['TOLEDO, Ohio — Mercy Health and ProMedica are now part of a program in which coronavirus survivors can donate plasma. Here\'s how it works: people who ...']"
26,['Bigger checks? Relief for states? What could be in the next coronavirus bill']['Congress is negotiating details of a new coronavirus relief package that may include more cash for Americans and bonuses for health care workers.']
27,"['Coronavirus Israel live: Government approves lockdown on Independence Day, Ramadan']['Israel reverses trend with more recoveries than infections □ 14498 confirmed coronavirus cases in Israel, 189 dead □ With 314 cases, Palestinians ease ...']"
28,"['During Coronavirus, Healthy Hospital Vending Machines Are in Demand']['Farmer\'s Fridge, a vending machine startup selling plastic jars of *fresh* food like salads and wraps instead of the usual candy and soda, experienced the impact ...']"
29,"['Live updates: D.C. reports another single-day high in covid-19 deaths; Virginia lawmakers kick off meeting outside']['The number of known coronavirus cases in the District, Maryland and Virginia was 27,659 on Wednesday, with 14,788 cases in Maryland, 9,661 in Virginia and ...']"
30,"['Coronavirus live updates: U.S. deaths started sooner than we thought; winter could bring another wave; threat to meat supply']['Senate approved new stimulus package for small businesses, the CDC chief warns second wave of pandemic could be worse. The latest coronavirus news.']"
31,"['Murals salute health care workers, inspire residents in Philadelphia']['Artist Sean Lugo is trying to bring positivity to Philadelphia through his artwork during the coronavirus outbreak.']"
32,"['Medical Workers’ Looming Mental-Health Crisis']['As the coronavirus crisis swamps American hospitals, healthcare workers are not only being infected at disproportionate rates – they\'re struggling with the ...']"
33,"['A Top Immunologist on Why Coronavirus Is Killing More African-Americans']['James Hildreth, who leads one of the nation\'s largest historically black medical schools, is drawing on his experience fighting HIV/AIDS as he works to mitigate ...']"
34,"['Coronavirus tests were delayed by contamination at CDC lab, report says']['A delay by the Centers for Disease Control and Prevention in quickly making coronavirus test kits available was the result of ""a glaring scientific breakdown"" at ...']"
35,['How to Get Your Kids to Treat You Like Their Teacher']['Here\'s how to create a space and habits that keep kids engaged with schoolwork at home.']
36,"['Coronavirus: Martin Shkreli seeks early prison release to work on Covid-19 treatment, avoid infection', 'Pharma Bro Martin Shkreli is engaged', 'Martin Shkreli asks for release him from prison — to develop a coronavirus cure', 'Shkreli Seeks Early Prison Release to Help With Covid ‘Cure’', 'Shkreli seeks early prison release to help with COVID-19 \'cure\'']['Notorious ""pharma bro"" Martin Shkreli asked to be released from prison for the remainder of his seven-year criminal sentence for fraud so that he can work on a ...', 'The 37-year-old disgraced Pharma Bro has a fiancée, his attorneys said Wednesday in a compassionate release request.', 'Lawyers for “Pharma Bro” Martin Shkreli — reviled for hiking the price of a life-saving HIV drug when he ran a pharmaceutical company — claim he wants to cure ...', 'Martin Shkreli asked a federal judge to release him early from prison, saying he “has been conducting significant research into developing molecules to inhibit ...', 'Martin Shkreli asked a federal judge to release him early from prison, saying he “has been conducting significant research into developing molecules to inhibit ...']"
37,"['Dr. Oz Now Says Of COVID-19 Treatment Hydroxychloroquine: “We Are Better Off Waiting”', 'More deaths, no benefit from malaria drug in VA virus study', 'Trump and Fox News suggest caution on hydroxychloroquine studies (after one undercuts their case)', 'Fox News falls out of love with hydroxychloroquine']['After weeks of being a booster of the use of hydroxychloroquine as a potential treatment for coronavirus, celebrity doctor Mehmet Oz now says it\'s better to wait ...', 'A malaria drug widely touted by President Donald Trump for treating the new coronavirus showed no benefit in a large analysis of its use in U.S. veterans ...', 'Before Tuesday, the last time President Trump mentioned the drug hydroxychloroquine - which he had repeatedly hyped over the past month - came in a retweet ...', 'Fox News has fallen out of love with hydroxychloroquine. After weeks of unrelenting coverage hyping the antimalarial drug as a potential game-changing ...']"
38,"['Nurses read names of colleagues who died of COVID-19 in protest outside White House', '\'We\'re beyond angered\': Fed-up nurses file lawsuits, plan protest at White House over lack of coronavirus protections', 'Video: Nurses read names of dead colleagues at White House protest - Business Insider']['A group of registered nurses gathered outside the White House on Tuesday in honor of nurses who have died of COVID-19 and to demand mass production of ...', 'We\'re tired of being treated as if we are expendable,” said Deborah Burger, president of National Nurses United, the country\'s largest nurses union. “If we are ...', 'Powerful video taken during a protest at the White House on Tuesday shows nurses reading out a list of names of their colleagues killed on the frontlines of ...']"
39,"['Here\'s How Much Coronavirus Testing Is Enough : Shots - Health News', 'Inside America’s unending testing snafu']['Widespread testing is key to lifting social distancing and preventing more waves of COVID-19. But how do communities know if they\'re doing sufficient testing to ...', 'It\'s hard to tell from watching President Donald Trump and members of his Coronavirus Task Force just how many people can be tested for coronavirus in the ...']"
40,"['McDonald\'s to give free \'Thank You Meals\' for first responders, health care workers starting Wednesday', 'Over 150 McDonald’s in N.J. giving free meals to thank coronavirus healthcare workers, first responders', 'McDonald\'s promotes \'Thank You Meals\' for first responders and Earth Day campaigns go virtual: Wednesday Wake-Up Call', 'McDonald\'s \'Thank You Meals\': How Healthcare Workers Can Get Free Food']['McDonald\'s is introducing free ""Thank You Meals"" for first responders and health care workers serving on the front lines of the coronavirus pandemic, the ...', 'If you\'re a healthcare worker or first responder looking for something to eat in the next two weeks, let the golden arches get you a free meal, McDonald\'s ...', 'Welcome to Ad Age\'s Wake-Up Call, our daily roundup of advertising, marketing, media and digital news. If you\'re reading this online or in a forwarded email, ...', 'For many of us, our love of McDonald\'s began when our caretaker bought us that very first Happy Meal. But the now-vacant red and yellow tables have turned in ...']"
41,"['Thief swipes puppy from home of nurse treating coronavirus patients', 'Police call on public to help find a puppy stolen from the home of an ER nurse helping fight coronavirus', '11-week-old puppy stolen from ER nurse’s home', 'Police search for suspect who stole E.R. nurse’s puppy from Concord home', 'Puppy taken from home of nurse treating coronavirus patients']['A heartless thief stole a puppy from the home of a nurse who has been treating coronavirus patients at a California hospital, police said Tuesday.', 'A beloved puppy was dognapped this week and is still missing after being stolen from a health care worker helping victims of the coronavirus.', 'Police say the 11-week-old pup named Max was taken from the garage of his owner\'s house on Saturday.', 'Concord police are looking for whoever stole a puppy from a local E.R. nurse\'s home.', 'The dognapper, wearing a mask and hood, can be seen on surveillance video grabbing the 11-week-old pup named Max and peddling away on a bicycle, ...']"
