,0
0,"['Coronavirus World News: Crisis Fuels Economic Chaos, Hunger and Strongmen']['The European Union accused Poland and Hungary of undermining democracy — and awarded them billions. Meanwhile, shutdowns and an oil glut are ...']"
1,"['Coronavirus vaccine unlikely to be ready before end of 2021: Roche - Business Insider']['""I\'m afraid that the most likely scenario is that we will not have a vaccine before the end of next year,"" Roche CEO Severin Schwan said.']"
2,['Live Coronavirus Updates']['The first known U.S. death from the illness came in early February in California. An order by Trump will impose a 60-day halt in issuing green cards.']
3,"['Coronavirus World News: Live Updates']['In southern Italy, the pandemic is choking an already fragile economy. Protests erupt in Lebanon.']"
4,"['How A Shortage Of Sand (And Other Common Items) Could Delay A Coronavirus Vaccine']['As laboratories across the globe scramble to make a COVID-19 vaccine, manufacturers face shortages of common ingredients and supplies. FiveThirtyEight\'s ...']"
5,"['Some Scientists Want To Infect People With The Coronavirus To Get A Vaccine Faster']['Normally, deliberately giving someone an infection that is potentially lethal would be unacceptable,” one bioethicist said. “But in extreme times, like a plague, ...']"
6,['Hundreds of people volunteer to be infected with coronavirus']['Support grows for a controversial \'human challenge\' vaccine study — but no trial is yet planned.']
7,"['A coronavirus vaccine could cost you a small fortune']['Things have gone from bad to worse for Brian Helstien. For a decade, he\'s been grappling with multiple myeloma, a form of blood cancer. Now he needs surgery ...']"
8,['Antibody surveys suggesting vast undercount of coronavirus infections may be unreliable']['Critics question accuracy of tests and media promotion before full results are published.']
9,"['FDA greenlights first coronavirus test with at-home sample, Trump targets immigration']['Covid-19 has infected 2.5 million around the world as of Tuesday, killing at least 171810 people.']"
10,['Coronavirus killed Americans weeks earlier than thought']['New autopsy results show two Californians died of coronavirus in early and mid-February -- up to three weeks before the previously known first US death from ...']
11,"['Let Volunteers Take the COVID Challenge']['Until scientists discover a treatment or vaccine for COVID-19, the disease will inflict mass suffering. And experts say that safely developing, producing, and ...']"
12,"['Coronavirus Infections May Not Be Uncommon, Tests Suggest']['Two new studies using antibody tests to assess how many people have been infected with the coronavirus have turned up numbers higher than some experts ...']"
13,['Could an old vaccine be a godsend for new coronavirus?']['Using the oral polio vaccine could prevent or reduce the spread of COVID-19 to immunized individuals.']
14,"['Dr. Hotez: COVID-19 vaccine in 12-18 months would be ‘unprecedented’']['Dr. Peter Hotez, a dean at Baylor College of Medicine and co-director of the Center for Vaccine Development at Texas Children\'s Hospital in Houston, tells ...']"
