,0
0,"['This is what air travel could look like in a post-coronavirus world']['It\'s hard to imagine a return to normalcy any time soon, but the time will come, likely well before we have a vaccine for the coronavirus, when the world...']"
1,['Traveling after Covid-19 will be forever changed']['The world\'s jet-setting has given way to empty planes and fearful tourists. It could take years to return to normal.']
2,['Lawsuits are a predictable coronavirus side effect']['Carnival Corp. is facing lawsuits from several passengers who claim they weren\'t warned of the high risk of being infected with the novel coronavirus on the ...']
3,"['Business Travel Has Stopped. No One Knows When It Will Come Back.']['But one thing is certain: It will be changed. Airports, airlines and hotels will be taking new precautions, experts predict. And conferences will eventually return.']"
4,"['How Far Can the Coronavirus Travel in the Air?']['Research on the new coronavirus and how coughs spread suggest the virus can travel further, and linger longer in the air, than previously believed. So far, the ...']"
5,"['More robots, fewer buffet lines: You will cruise again, but it will look very different']['Few images capture the coronavirus\' crushing impact on the travel industry better than those of cruise ship passengers lining their balconies, awaiting return to a ...']"
6,['Travelers are booking flights again despite coronavirus lockdown']['Travelers such as Ami Horowitz are beginning to book flights in what could be the first sign that life is getting back to normal after weeks of dashed travel plans ...']
7,"['Stocks Rise as Oil Prices Rebound: Live Market Updates']['As Congress prepares to restock a depleted small-business loan fund, complaints are mounting about the publicly traded companies that sucked up hundreds of ...']"
8,"['Planes grounded by coronavirus pandemic sit idle at airports around the world – in pictures']['As travel restrictions in response to the pandemic savagely cut the number of flights, airlines are scrambling to find places to park their redundant planes.']"
9,"['Coronavirus pandemic: Updates from around the world']['The global coronavirus pandemic has brought countries around the world to a standstill. Here\'s the latest updates on worldwide Covid-19 cases, deaths, ...']"
10,['Coronavirus impact: San Francisco airport an \'eerie\' ghost town during COVID-19 crisis']['The normally bustling San Francisco International Airport appears desolate amid the coronavirus pandemic.']
11,"['In Japan, Italian cruise ship grapples with coronavirus cluster']['TOKYO (Reuters) - Authorities in Japan\'s western prefecture of Nagasaki have confirmed 33 coronavirus infections on an Italian cruise ship docked for repairs, ...']"
12,"['Coronavirus live updates: Harvard will not accept stimulus funds, California to start scheduling certain surgeries again']['Covid-19 has infected more than 2.6 million people around the world as of Wednesday, killing at least 180784 people.']"
13,['Solving the Mysteries of Coronavirus With Genetic Fingerprints']['Scientists traced the virus brought to the Seattle area in January. They were astonished to learn that the same branch of the virus traveled on through at least a ...']
14,"['A Beloved Bar Owner Was Skeptical About the Virus. Then He Took a Cruise.']['Decades before he would embark on a cruise to the Mediterranean, confident that the coronavirus would have little to do with him, Joe Joyce was known to the ...']"
15,"['US tops more than 750,000 cases as Trump says he will use DPA to increase medical swabs']['Covid-19 has infected more than 2.3 million around the world as of Sunday, killing at least 164000 people.']"
16,"['Coronavirus World News: Live Updates']['In southern Italy, the pandemic is choking an already fragile economy. Protests erupt in Lebanon.']"
17,['Will the sustainable travel movement survive coronavirus?']['Travel experts say the pandemic won\'t stop environmentalists\' call for slower trips and fewer flights.']
18,['Coronavirus latest: at a glance']['Coronavirus%20latest%3A%20at%20a%20glance%20%7C%20Coronavirus%20outbreak%20%7C%20The%20Guardian.']
19,"['South America has a worrying coronavirus future']['Experts worry that South America\'s poverty, inequality, weak economies, and poor healthcare sectors will lead to a large outbreak.']"
20,"['Eerie photos from LAX, where coronavirus has slowed traffic']['Photos from LAX, where a handful of passengers still pass through the terminals, with air traffic nationwide down due to the coronavirus.']"
21,"['Norwegian Cruise Line Reportedly Taps Goldman Sachs to Sell Stake']['Norwegian Cruise Line, the world\'s third-largest cruise company, has reportedly hired investment bank Goldman Sachs to help shore up its finances.']"
22,"['Love is in the air as weddings innovate despite coronavirus']['Philip Hernandez (L) puts the ring on his bride Marcela Peru, as Clerk Recorder Erika Patronas (C) looks on, during their wedding ceremony on April 21, 2020 in ...']"
23,"['John Wayne Airport stats for March show coronavirus effects']['The number of passengers flying in and out of John Wayne Airport dropped by two-thirds year-over-year for March, airport officials announced Tuesday, April 21.']"
24,['Coronavirus live updates: Financial catastrophe looms for state and local governments']['State and municipal governments across the country are clamoring for the federal government to rescue them amid the coronavirus pandemic.']
25,"['Georgia governor says some businesses can reopen, California town to test every resident']['Covid-19 has infected more than 2.4 million people around the world, killing at least 168500 as of Monday, according to data compiled by Johns Hopkins ...']"
26,"['Before-and-after photos show dramatic decline in air pollution around the world during coronavirus lockdown']['With humans stuck inside, carbon emissions have fallen significantly and the skies are clearing.']"
27,"['Where are refunds for Carnival cruises canceled due to COVID-19?']['PENSACOLA, Fla. (WKRG) — A lot of businesses were forced to close during the coronavirus pandemic, and most of them remain closed. Carnival Cruise Line ...']"
28,"['Airline industry has 15 coronavirus-related deaths in 9 days']['Flights are nearly empty and airlines have cut *service* drastically, but the coronavirus is still ravaging the workforce.']"
29,"['NC traffic plummeted from COVID-19. Will air quality benefit?']['As coronavirus has closed many businesses and grounded flights, traffic on highways and rural roads has plummeted, leaving transportation experts and ...']"
30,"['The plunge in oil prices is the last thing Boeing and Airbus need right now']['A plunge in fuel prices will only hurt demand for new planes, analysts say.']"
31,"['Wisconsin airport puts on drive-thru light display to support frontline workers and community during coronavirus pandemic']['For the Wisconsinites who are tired of binge-watching Netflix while self-isolating, the Dane County Regional Airport has opened an attraction that they can enjoy ...']"
32,"['Cleaner air due to coronavirus pandemic makes Earth Day 50th anniversary celebration bittersweet for environmentalists']['The coronavirus put a damper on the 50th anniversary of Earth Day, but environmentalists are taking solace in the cleaner air created from shelter in place ...']"
33,"['El Paso developer offer: He\'ll save Butterfield Trail golf course if airport gives him land']['El Paso real estate developer Russell Hanson thinks the city-owned, money-losing Butterfield Trail golf course, slated to permanently close May 31 due to the ...']"
