,0
0,"['Het duurt nog wel even voor er een corona-opsporingsapp is die klaar is voor gebruik. Onder de zeven app-bouwers die dit weekend hun plannen voorlegden, ...']"
1,"['Griekenland pakt van alle Europese landen de coronacrisis het best aan, concludeerde de Franse denktank The Bridge afgelopen week. Volgens The Bridge ...']"
2,['Hasselt is hard getroffen door het coronavirus maar het gevecht tegen de eenzaamheid is misschien nog wel zwaarder. Het stadje in Overijssel telt ruim 7000 ...']
3,"['Tussen de zeven geselecteerde ontwerpen voor de corona-app zit nog geen geschikte kandidaat, moest het ministerie zondag erkennen.']"
4,"['Appje van een vriendin: \'Hoi Jasper, hoe is het in het corona-bestaat-niet-land?\' In Nederland lijkt het beeld te zijn ontstaan dat de Zweedse corona-aanpak ...']"
5,['Het dodental door corona is met 83 opgelopen tot 3.684. Dat heeft gezondheidsorganisatie RIVM zondag gemeld op haar website.']
6,"['De corona-crisis zorgt voor blijvende veranderingen in de werkzaamheden van de huisartsen. Zo zijn e-consulten straks niet meer weg te denken, voorspelt ...']"
7,"['Bij een van de zeven kandidaat-apps die in de race zijn om de Nederlandse corona-app te worden, is binnen 24 uur na de presentatie al een datalek ...']"
8,"['Ontwikkelaars, computerbeveiligers en privacy-experts zijn niet onder de indruk van de zeven overgebleven corona-apps die kans maken om door de overheid ...']"
9,"['Inge Rathje heeft haar demente moeder Ria in huis genomen, uit angst voor een corona-besmetting. Nu blijkt dat er in het verpleeghuis van haar moeder ...']"
10,['Nieuwsbericht | 19-04-2020 | 20:40. Het kabinet wil op dinsdag 21 april aanstaande een besluit nemen over de volgende stap ten aanzien van apps ter ...']
11,['Zondag presenteren de zeven bedrijven en organisaties die zijn doorgedrongen tot de voorselectie van een corona-app voor de tweede dag hun ideeën aan ...']
12,['Douwe Dijkstra (48) werd geboren in Assen; zijn ouders komen uit Buitenpost. Hij werkte enige jaren voor Tear in Zuid-Azië. Dijkstra maakte daar de ...']
13,"['VIDEOVELDHOVEN - Corona maakt bang, ondervindt angsttherapeute Carolijn van Gorkum uit Veldhoven zelf. Maar: ,,Heel veel mensen zijn nog gewoon ...']"
14,['Het Overijsselse bedrijf Wavin gaat per direct gezichtsschermen produceren voor de zorgsector. Het bedrijf is gespecialiseerd in het maken van kunststof ...']
15,"['Hij rookte niet, hij dronk niet, hij had nooit wat. Toch overleed Hans de Breet vrijdag op 62-jarige leeftijd aan het coronavirus. \'Je wil niet weten wat voor hel het ...']"
16,['De nieuwsberichten over het coronavirus volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Met vandaag ...']
17,"['In Amsterdam zijn imiddels 466 patiënten in het ziekenhuis opgenomen (geweest) met het coronavirus. Dat zijn er veertien meer dan gisteren, toen waren er ...']"
18,['It-ondernemer en Computable-columnist Hans van Bommel komt met het initiatief om open source een uiterst simpel werkende corona-app te ontwikkelen die ...']
19,['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Jan Gijsbers (70) uit ...']
20,"['Tussen zaterdag 10.00 uur en zondag 10.00 uur zijn er opnieuw twee Zeeuwen met corona in het ziekenhuis opgenomen, waarmee het totaal op 135 komt.']"
21,['Het dodental door besmetting met het coronavirus in Spanje vertoont na een paar piekdagen weer een dalende tendens. Het ministerie van Volksgezondheid ...']
22,['videoDe 99-jarige oorlogsveteraan uit het Engelse graafschap Bedfordshire die achter zijn rollator rondjes loopt in zijn tuin om geld in te zamelen voor Britse ...']
23,"['Het is zondag 19 april. Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Misschien - heel ...']"
24,"['Mét covid-19 verspreidt nog een virus zich in de wereld: antisemitisme. Complotdenkers beweren, vooral op sociale media, dat Joden en zionisten ...']"
25,['UpdateRector Floris Hamann van de Groninger studentenvereniging Vindicat is woedend over het feestje dat vijftien leden vrijdagnacht vierden in de sociëteit.']
26,['Zuid-Korea rapporteerde voor het eerst in twee maanden minder dan 10 nieuwe gevallen van het coronavirus. Daarmee is een verdere daling te zien van het ...']
27,"['Het is zondag 19 april. Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Misschien - heel ...']"
28,"['Wereldwijd zijn 160.000 mensen overleden aan de gevolgen van het uit China overgewaaide coronavirus, al ligt het werkelijke aantal hoger. Het dodental is in ...']"
29,"['Het zijn spannende tijden voor kappers en hun klanten. Mogen ze binnenkort weer knippen en geknipt worden? En zo niet, wat moet je dan doen als rusteloze ...']"
30,['Bij enkele bewoners en medewerkers van verpleeghuis Zonnehuis Oostergast in Zuidhorn is corona vastgesteld. Dat heeft een vertegenwoordiger van de Raad ...']
31,['ENSCHEDE – Vier Enschedese techbedrijven werken koortsachtig aan de producten waarmee het coronavirus kan worden opgespoord en bestreden. Het gaat ...']
32,"['Een als kroeg ingerichte woning, op een eilandje in het buitengebied: op verschillende plaatsen in Friesland maakt de politie dit weekend een eind aan illegale ...']"
33,"['Op een eilandje in het buitengebied, in een als kroeg ingerichte woning: op verschillende plaatsen in Friesland moest de politie dit weekend een einde maken ...']"
34,"['Het aantal inwoners van Gelderland dat is overleden aan het coronavirus is opgelopen tot 422. Dat zijn er 10 meer dan het RIVM gisteren meldde, toen steeg ...']"
35,['Grimeur Ton van den Heuvel is eerder deze week op 94-jarige leeftijd overleden aan de gevolgen van een coronabesmetting. Zijn familie heeft vandaag een ...']
36,['Complottheorieën: Bij zeker vijftien telecommasten in Nederland werd brand gesticht. De Nationaal Coördinator Terrorismebestrijding en Veiligheid vermoedt…']
37,['Het aantal nieuwe besmettingen en ic-opnames in ons land blijft dalen. Ook het aantal dagelijkse coronadoden lijkt stabiel. De afgelopen 24 uur kwamen er 83 ...']
38,['Het coronavirus heeft in de regio opnieuw het leven gekost van tien mensen. Dat blijkt uit cijfers van het RIVM die deze zondag bekend zijn gemaakt. Dat is ...']
39,"['Het is zondag 19 april. Terwijl we uitbundig de lente en de bevrijding zouden moeten vieren, blijven we met z\'n allen zo veel mogelijk thuis. Misschien - heel ...']"
