news_title,news_date
 ‘Corona-ontkenners’ beschuldigen Daily Mail ten onrechte van misleiding over massagraf New York,"  15 apr, 2020"
 Vervalst screenshot Telegraaf.nl claimt verband coronavirus en 5G,"  12 apr, 2020"
" Viraal gedicht over lockdown is van nu, niet uit tijd van Spaanse Griep","  10 apr, 2020"
 Fake bericht over bekering Italiaanse arts is hit op christelijk internet,"  9 apr, 2020"
 YouTube doneert niet aan ziekenhuis Bergamo voor elke klik op deze video,"  1 apr, 2020"
 Waarom KNMI-satellietbeeld van stikstofdaling niets zegt over stikstofuitstoot boeren,"  30 mrt, 2020"
 Sint Corona: sinds kort beschermheilige tegen epidemieën,"  27 mrt, 2020"
 Broodje aap over desinfectie door 5 helicopters raast de wereld rond,"  24 mrt, 2020"
 Het lukt Facebook niet deze doodgecheckte coronaclaims te labelen als nepnieuws,"  13 mrt, 2020"
 Zelf coronaberichten checken? Gebruik HALT,"  6 mrt, 2020"
 Geen corona aan het Rijswijkseplein – factcheck met behulp van HALT,"  6 mrt, 2020"
 NASA gaf niet toe dat zon huidige klimaatverandering veroorzaakt,"  24 feb, 2020"
 Zo’n 70 procent van instroom heeft geen recht op asiel﻿,"  31 jan, 2020"
 16 vragen over de AD Ziekenhuis Top 100,"  31 jan, 2020"
 Aantal asielzoekers in 2018 leidt niet tot 100 duizend nieuwe Nederlanders,"  12 dec, 2019"
 Telegraaf brengt satire als nieuws: ‘Man (48) doodt muggen met zijn scheten’,"  12 dec, 2019"
 Sollicitatiehulp CVster loog tegen NOS en AD over verzonnen medewerkers,"  6 dec, 2019"
" Meerderheid Nederlanders voor zwarte Zwarte Piet? Ja, maar niet 95 procent","  3 dec, 2019"
 Psychologie als studiekeuze levert niet de meeste spijt op,"  3 dec, 2019"
 Nieuws over ‘extreme haaruitval’ bij 40+’ers is reclame voor haarbranche,"  3 dec, 2019"
 Vrouwen liegen vaker dan mannen? Daarvoor is geen bewijs,"  18 nov, 2019"
 Betaald door Jumbo brengt RTL nep-peiling over  lunchvoorkeur Nederlanders,"  16 nov, 2019"
 Azc’s niet vol met mensen uit veilige landen,"  8 nov, 2019"
 ‘War on Christmas’ of seizoensmarketing? Lidl en IKEA doen kerst niet in de ban﻿,"  6 nov, 2019"
 Onaardig door te veel sporten? Dat is niet onderzocht,"  31 okt, 2019"
 Is thee drinken goed voor je hersens? Dat is niet bewezen,"  26 okt, 2019"
 Ondernemers brexitbang? AD trekt overhaaste conclusies,"  23 okt, 2019"
 Hebben rebelse kinderen later de beter betalende banen?,"  30 sep, 2019"
" De lokale factchecker is geen scheidsrechter, maar verbreedt en verdiept het politieke debat: Een evaluatie van Factcheck071","  29 aug, 2019"
 Waar is die foto gemaakt? Zo achterhaal je dat met InVID,"  4 jul, 2019"
