,news_title,date,news_title_en
0, ‘Corona-ontkenners’ beschuldigen Daily Mail ten onrechte van misleiding over massagraf New York,"  15 apr, 2020",'Corona deniers' Daily Mail falsely accused of deception on mass grave New York
1, Vervalst screenshot Telegraaf.nl claimt verband coronavirus en 5G,"  12 apr, 2020",Counterfeit screenshot Telegraaf.nl claims associated coronavirus and 5G
2," Viraal gedicht over lockdown is van nu, niet uit tijd van Spaanse Griep","  10 apr, 2020","Viral poem about lockdown is now, no matter the time of Spanish Flu"
3, Fake bericht over bekering Italiaanse arts is hit op christelijk internet,"  9 apr, 2020",Fake message about repentance Italian doctor was hit on Christian internet
4, YouTube doneert niet aan ziekenhuis Bergamo voor elke klik op deze video,"  1 apr, 2020",YouTube donates hospital not to Bergamo for each click on this video
5, Waarom KNMI-satellietbeeld van stikstofdaling niets zegt over stikstofuitstoot boeren,"  30 mrt, 2020",Why KNMI satellite nitrogen fall silent on nitrogen emissions farmers
6, Sint Corona: sinds kort beschermheilige tegen epidemieën,"  27 mrt, 2020",St. Corona: recently patron against epidemics
7, Broodje aap over desinfectie door 5 helicopters raast de wereld rond,"  24 mrt, 2020",Urban legend about disinfection by five helicopters around the world rages
8, Het lukt Facebook niet deze doodgecheckte coronaclaims te labelen als nepnieuws,"  13 mrt, 2020",The Facebook fails to label this doodgecheckte corona claims as fake news
9, Zelf coronaberichten checken? Gebruik HALT,"  6 mrt, 2020",Self check corona messages? use HALT
10, Geen corona aan het Rijswijkseplein – factcheck met behulp van HALT,"  6 mrt, 2020",No corona to Rijswijkseplein - fact check using HALT
11, NASA gaf niet toe dat zon huidige klimaatverandering veroorzaakt,"  24 feb, 2020",NASA did not allow sun current climate change caused
12, Zo’n 70 procent van instroom heeft geen recht op asiel﻿,"  31 jan, 2020",About 70 percent of inflows is not entitled to asylum
13, 16 vragen over de AD Ziekenhuis Top 100,"  31 jan, 2020",16 questions about the AD Hospital Top 100
14, Aantal asielzoekers in 2018 leidt niet tot 100 duizend nieuwe Nederlanders,"  12 dec, 2019",Number of asylum seekers in 2018 does not lead to 100 thousand new Dutch
15, Telegraaf brengt satire als nieuws: ‘Man (48) doodt muggen met zijn scheten’,"  12 dec, 2019",Telegraph brings news satire like 'Man (48) kills mosquitoes with his farts'
16, Sollicitatiehulp CVster loog tegen NOS en AD over verzonnen medewerkers,"  6 dec, 2019",Application Help CVster lied about NIS and AD fictitious employees
17," Meerderheid Nederlanders voor zwarte Zwarte Piet? Ja, maar niet 95 procent","  3 dec, 2019","Majority of black Dutch Zwarte Piet? Yes, but not 95 percent"
18, Psychologie als studiekeuze levert niet de meeste spijt op,"  3 dec, 2019",Psychology study does not provide the most regret
19, Nieuws over ‘extreme haaruitval’ bij 40+’ers is reclame voor haarbranche,"  3 dec, 2019","News about 'extreme hair loss ""at 40 +' ers is advertising its branch"
20, Vrouwen liegen vaker dan mannen? Daarvoor is geen bewijs,"  18 nov, 2019",Women lie more than men? There is insufficient evidence
21, Betaald door Jumbo brengt RTL nep-peiling over  lunchvoorkeur Nederlanders,"  16 nov, 2019",Paid by Jumbo brings RTL fake poll on lunch preference Dutch
22, Azc’s niet vol met mensen uit veilige landen,"  8 nov, 2019",Azc's not packed with people from safe countries
23, ‘War on Christmas’ of seizoensmarketing? Lidl en IKEA doen kerst niet in de ban﻿,"  6 nov, 2019",'War on Christmas' or seasonal marketing? Lidl and IKEA Christmas do not banned
24, Onaardig door te veel sporten? Dat is niet onderzocht,"  31 okt, 2019",Unkind by too much exercise? That has not been studied
25, Is thee drinken goed voor je hersens? Dat is niet bewezen,"  26 okt, 2019",Is tea good for your brain? That has not been proven
26, Ondernemers brexitbang? AD trekt overhaaste conclusies,"  23 okt, 2019",Entrepreneurs brexitbang? AD jumping to conclusions
27, Hebben rebelse kinderen later de beter betalende banen?,"  30 sep, 2019","Have rebellious children later, better-paying jobs?"
28," De lokale factchecker is geen scheidsrechter, maar verbreedt en verdiept het politieke debat: Een evaluatie van Factcheck071","  29 aug, 2019",The local fact-checker is not a referee but broadens and deepens the political debate: A Review of Factcheck071
29, Waar is die foto gemaakt? Zo achterhaal je dat met InVID,"  4 jul, 2019",Where was that picture taken? So after you get that with Invid
