news_title,Lables,news_date,country,fact_checking_source
 Japanese schools re-opened then were closed again due to a second wave of coronavirus.,MISLEADING,5/12/2020, France, Les DÃ©codeurs
 A Japanese Nobel Price said that SARS-CoV-2 was human made.,FALSE,5/12/2020, France, Les DÃ©codeurs
" Famous French blue cheese, roquefort, is a â€œmedecine against Covid-19â€.",FALSE,5/12/2020, France, Les DÃ©codeurs
 Administrative documents French people need to fill to go out are a copy paste from 1940 documents.,FALSE,5/12/2020, France, Les DÃ©codeurs
 French Minister of Justice Nicole Belloubet threathened the famous anchor Jean-Pierre Pernaut after he criticized the government policy about the pandemic on air.,FALSE,5/12/2020, France, Les DÃ©codeurs
 French President Macron and its spouse are jetskiing during the lockdown.,FALSE,5/12/2020, France, Les DÃ©codeurs
 Spanish and French masks prices are comparable.,FALSE,5/12/2020, France, Les DÃ©codeurs
 Brigitte Macron asked Didier Raoult treat her daughter with chloroquine.,FALSE,5/12/2020, France, Les DÃ©codeurs
" The SARS-CoV-2 has been engineered by man, edited from the VIH-1 virus.",FALSE,5/12/2020, France, Les DÃ©codeurs
 MHA has declared Guwahati as â€˜Red Zone.â€™,FALSE,5/11/2020, India, FactCrescendo
 Bill Gates patented the Sars-cov2 vaccine in 2014.,FALSE,5/11/2020, Italy, Open
 Viral message shares the Indian Council of Medical Research (ICMR) latest guidelines on COVID-19.,FALSE,5/11/2020, India, FactCrescendo
 The government has banned autopsies on Covid-19 deaths. They want to hide the truth.,FALSE,5/11/2020, Italy, Open
" The SARS-CoV2 virus weakens, it means that it is artificial. The Governor of the Veneto Region Zaia said so.",FALSE,5/11/2020, Italy, Open
" Image of a doctor smoking while treating COVID patients in Gujarat, India.",FALSE,5/11/2020, India, FactCrescendo
 Deepika Padukone was buying liquor during the lockdown in India as soon as the shops opened.,FALSE,5/7/2020, India, BOOM FactCheck
 A picture shows an eight-year-old boy infected with coronavirus. Prayers and shares on Facebook will help him.,FALSE,5/7/2020, India, India Today
" A video claiming that COVID-19 only kills people who already had other diseases and treatment can be done at home with antibiotics. The statement is based on a study by Giampaolo Palma with 50 autopsies at Pope John XXIII Hospital in Bergamo, Italy.",FALSE,5/7/2020, Brazil, EstadÃ£o Verifica
 Indian News wire agency IANS claims that Pakistani PM Imran Khan read an overturned graph and claimed that Pakistan was flattening its curve.,FALSE,5/7/2020, India, BOOM FactCheck
" While COVID-19 tests on sick people take from 10 to 20 days to show results, on dead people the results are given instantly.",FALSE,5/7/2020, Brazil, AgÃªncia Lupa
" Coronavirus lives on the hands for 10 minutes, so putting a sanitizer in the pocket meets the purpose of prevention",MISLEADING,5/7/2020, India, Vishvas News
" Supermarket chain, Melcom is giving out GHâ‚µ 2,000 gift cards to every Ghanaian in response to COVID-19.",FALSE,5/7/2020, Ghana, GhanaFact
 Indian nurses resigned due to Covid-19 infected Jamati patients misbehavior.,FALSE,5/7/2020, India, Vishvas News
" Barack Obama, former President of the United States, said that criminals shouldnâ€™t have rights.",FALSE,5/7/2020," Argentina, Colombia", Chequeado
 Messages linking scientist Bing Liuâ€™s death to â€œvery significant findingsâ€ about the coronavirus he was supposedly about to make at the University of Pittsburgh.,MISLEADING,5/7/2020," Spain, United States, China", Maldita.es
 Ghanaâ€™s electoral commission has postponed the 2020 elections to 2023 due to coronavirus.,FALSE,5/7/2020, Ghana, GhanaFact
" Adelio Bispo de Oliveira, a man who stabbed Bolsonaro back in 2018, has contracted COVID-19 while in jail.",FALSE,5/7/2020, Brazil, AgÃªncia Lupa
" Women of Shaheen Bagh, in Delhi, India caught red-handed carrying out a prostitution operation during the lockdown",FALSE,5/6/2020, India, BOOM FactCheck
 UK Prime Minister Boris Johnson met reporters after recovering from COVID-19.,FALSE,5/6/2020, India, The Quint
" Video of an elderly woman, struggling to breathe, lying over what seems to be a plastic bag. According to the post, she was inside a bag at a hospital morgue and was rescued by her relatives.",FALSE,5/6/2020, Brazil, AgÃªncia Lupa
 This photo shows bodies of COVID-19 victims.,FALSE,4/27/2020," Thailand, Kenya", PesaCheck
" A video of a car on fire. In the caption, it says that alcohol-based hand sanitizer caused the fire.",FALSE,4/27/2020, Brazil, AgÃªncia Lupa
 Several clickbait websites published misleading headlines claiming that â€œcigarettes block the coronavirusâ€.,Misleading,4/26/2020, Georgia, Myth Detector
